connectorID,X,Y,Z,skeletonID,distribution
9604989,427560,230146,137120,1324847,AnteriorMedialLateral
9604910,427299,230142,137040,2439409,AnteriorMedialLateralSoma
24689691,434391,240655,145240,4947529,AnteriorMedialLateralSoma
9604891,427265,230350,137320,4034601,AnteriorMedialLateralSoma
9604726,427542,230369,137440,4034601,AnteriorMedialLateralSoma
26400971,408929,231125,145600,1316565,Lateral
25172311,427996,230777,137560,2977775,AnteriorMedialLateral
26392774,425679,229773,156360,1326385,Lateral
9604584,430100,232425,137080,7875259,Lateral
26367603,422080,229863,141320,277739,AnteriorMedialLateralSoma
26367584,420812,230721,141040,1324080,AnteriorLateralSoma
9604342,430035,233028,135160,1195729,AnteriorMedialLateralSoma
5520168,420726,230628,140880,1245884,AnteriorMedialLateralSoma
26367631,421596,230682,141000,867170,AnteriorMedialLateral
9604158,430545,233873,136600,1060157,AnteriorMedialLateral
9101419,432219,231673,136480,8132840,AnteriorMedialLateral
9604071,430190,234200,136800,277739,AnteriorMedialLateralSoma
9605884,431908,231856,136400,4261024,AnteriorLateral
9603715,424789,234725,135720,1316578,MedialLateral
14609326,439396,233364,136800,4947529,MedialLateral
9603688,424827,235428,135800,2439409,AnteriorMedialLateralSoma
9603668,425324,237126,134960,874165,AnteriorMedialLateral
13512918,425434,236758,136000,1213200,AnteriorMedialLateral
9613295,438697,233672,136760,1060195,Lateral
13512982,425506,236862,136240,277739,AnteriorMedialLateralSoma
9602976,425330,236103,136240,2437415,MedialLateralSoma
9774878,430779,246362,135680,2437415,MedialLateralSoma
9602914,426303,236566,136600,2437415,MedialLateralSoma
9602881,424984,238329,136480,277739,AnteriorMedialLateralSoma
9341855,432979,244288,135640,874283,MedialLateral
9602776,426480,238345,135840,277739,AnteriorMedialLateralSoma
9602759,426683,238474,135960,867713,MedialLateral
26721061,437969,227750,136720,308072,MedialLateral
9602621,426222,238470,136600,4016205,AnteriorMedialLateralSoma
9602504,424065,238391,136600,3847324,AnteriorLateralSoma
26721495,417141,237831,158040,1077585,Lateral
9602436,424007,238149,136520,3847324,AnteriorLateralSoma
26721509,417726,237897,157760,1077585,Lateral
9948187,411389,243273,155120,4947529,Lateral
9601824,427966,235617,137280,2977775,AnteriorMedialLateral
9600777,428430,236923,137280,1325528,Lateral
9603810,428074,236952,137200,4034601,AnteriorMedialLateralSoma
9600797,428278,237151,137280,1326072,AnteriorLateral
25224054,411547,243448,154520,1324080,AnteriorLateralSoma
9947687,411356,243193,154600,1319279,Lateral
26721790,410686,244133,155320,1325965,Lateral
26721818,404420,240124,149160,898524,Lateral
26721824,404300,240104,149320,1316994,Lateral
10054515,427820,235770,137360,2439409,AnteriorMedialLateralSoma
9600723,427217,235997,137320,4947529,AnteriorMedialLateralSoma
10031623,433085,241603,144760,873699,Lateral
9600606,427597,236228,137000,308783,AnteriorLateral
9599655,424063,238269,137960,874416,AnteriorLateralSoma
9599164,422691,238050,137880,2975597,AnteriorLateral
11294854,433325,241456,144640,1325025,Lateral
9598764,420595,239075,138600,2975597,AnteriorLateral
9598292,419923,239314,138840,2973242,AnteriorLateral
9590583,419591,238917,139440,2973242,AnteriorLateral
26782237,433074,241870,144680,1077372,Lateral
5068187,430337,235729,138640,1316949,Lateral
25291873,432814,242100,144640,310538,AnteriorLateral
25291854,432483,242059,144640,1060221,Lateral
10202946,431689,236011,138360,1325938,Lateral
10922171,423528,243983,149320,2778308,MedialLateral
9439177,430754,236398,138160,1326497,Lateral
26828680,426937,243709,146720,3245703,AnteriorLateral
25883465,430256,235306,138400,1316949,Lateral
26829167,426777,242209,147000,2980141,Lateral
25260359,406944,239211,157800,1316642,AnteriorMedialLateralSoma
5067314,421682,228749,142400,1316642,AnteriorMedialLateralSoma
26832882,407814,238495,157680,1316642,AnteriorMedialLateralSoma
9456941,421378,230289,142800,4030800,AnteriorMedialLateral
