,bodyid,type
1003,2338252774,
1004,1324762843,
1005,1414785595,
1006,1321339259,
1007,825489724,
1008,2433182768,
1009,485249150,
1010,1721305372,LC12
1011,1315770230,
1012,453333562,
1013,2370637422,
1014,1906663903,
1015,1351048938,
1016,2132280093,
1017,5812979830,
1018,2029599601,
1019,971830406,
1020,2537161912,
1021,1814781628,LPLC2
1022,672840346,
1023,800920725,
1024,1162836604,
1025,2154451583,
1026,5813082449,
1027,5812989040,
1028,1813382259,LC17
1029,891582311,
1030,1965902505,
1031,636594376,
1032,1135112830,
1033,1344064626,
1034,2127949176,
1035,5813037804,
1036,2312747306,
1037,607938091,
1038,1321042078,
1039,2584627162,
1040,1131485736,
1041,1563095512,LC11
1042,1316103996,LC13
1043,1286349966,
1044,1226202007,
1045,1813728233,LPLC4
1046,735699469,
1047,1468756050,
1048,2564777707,
1049,1622138907,
1050,1252919575,
1051,1405978277,
1052,2028718812,
1053,1816732057,
1054,1813403762,LPLC2
1055,2348228095,
1056,1653212967,
1057,1754037055,LC12
1058,2089605952,
1059,1469581128,
1060,5813038319,LPLC1
1061,5813045806,
1062,5813018243,
1063,607126569,
1064,2472342395,
1065,2534770018,
1066,981967586,
1067,546464512,
1068,1134146373,
1069,1876088109,
1070,1049946735,
1071,1653732221,
1072,1598011458,
1073,1626948732,
1074,1602630790,
1075,2222414812,
1076,2309751059,
1077,2126943289,
1078,2528674653,
1079,5813038118,
1080,2367918925,
1081,1474852511,
1082,5813078220,
1083,1534318378,
1084,2222685828,
1085,5812999094,
1086,2337336384,
1087,2369641753,
1088,2380644742,
1089,1165755320,
1090,2533401437,
1091,1290961410,
1092,1809695854,LLPC2c
1093,728260915,
1094,5813034099,LC12
1095,1972132164,
1096,2341947875,
1097,5812999239,LPC1
1098,580326857,
1099,1167438283,LC6
1100,766410696,
1101,730627582,
1102,854110312,
1103,1540301939,
1104,1539649574,
1105,2214432006,
1106,2028227224,
1107,1542585886,
1108,5813031567,LPLC1
1109,1753354671,LC12
1110,1193828120,
1111,5813033615,
1112,1138587910,
1113,1785408640,LC12
1114,760397222,
1115,1134729441,
1116,1374062692,
1117,1344811248,
1118,1226206190,
1119,2151489958,
1120,1288780299,
1121,424780893,
1122,1591320187,
1123,1416766624,
1124,1842777126,LLPC3
1125,2567173348,
1126,1839012125,LLPC2b
1127,822078542,
1128,1507234353,
1129,5813077718,LLPC2c
1130,981912219,
1131,1815126433,LPLC2
1132,1595106149,LC9
1133,5813040123,
1134,2086544583,
1135,1746849335,
1136,607104768,
1137,1633816833,
1138,2005126021,
1139,1787636059,
1140,1039970967,
1141,1565880563,
1142,1755556277,
1143,5901219475,
1144,1813900871,
1145,892609503,
1146,1414124524,
1147,1539882951,
1148,1344724333,
1149,1599130586,
1150,5812997184,LLPC3
1151,1653070984,
1152,1510130908,
1153,728483249,
1154,1230903191,
1155,2183699594,
1156,1227579109,
1157,2399981631,
1158,976575766,
1159,796388548,
1160,2436209495,
1161,1725764327,
1162,1689915765,LC17
1163,1750251452,LC17
1164,5813055277,olfactory LN
1165,1539542392,
1166,1283025942,
1167,1507933560,
1168,5812988294,LC18
1169,5813071257,
1170,886159468,
1171,1907531484,
1172,421815053,
1173,2336572685,
1174,5813107946,
1175,2184406850,
1176,695922355,
1177,1687054079,
1178,2346523314,
1179,1191264946,
1180,1473336516,
1181,1819210383,
1182,5813017600,
1183,2533077800,
1184,1500092983,
1185,2377903039,JO-A/B/C
1186,5813034101,LC12
1187,1194199538,
1188,5812998049,LLPC3
1189,2468301334,
1190,1258625862,
1191,1160073701,
1192,5813023368,
1193,2135029411,
1194,1688505620,LC4
1195,5812992700,
1196,2247491552,
1197,1535769552,LT52
1198,1251995567,
1199,1848492258,LC17
1200,2281713090,
1201,5812990355,
1202,1498884544,
1203,1628135911,
1204,1352335144,
1205,643073880,
1206,1353708479,
1207,1749845151,
1208,1073069488,
1209,1747963184,LLPC2a
1210,547552266,MBON33
1211,675447609,
1212,1781860460,
1213,1812488920,
1214,922302296,
1215,5812996602,
1216,1630678915,
1217,1656446242,
1218,1291245214,
1219,728912816,
1220,1806526649,LPC1
1221,737218753,
1222,669512877,
1223,1009311804,
1224,1907501440,LPLC4
1225,1541359136,
1226,603751637,
1227,1510562557,
1228,886066221,
1229,1914331248,
1230,5813000781,
1231,1757481665,
1232,2100916805,
1233,2153005197,
1234,739213376,
1235,984799284,
1236,733316908,mlPN1
1237,670547235,
1238,1810633372,
1239,1598382541,PB01
1240,1231217536,LC9
1241,1633333063,
1242,1354277912,
1243,2216261919,
1244,797635637,
1245,454822542,
1246,1137180814,
1247,1657616545,
1248,2439273962,
1249,668617936,
1250,2593818192,
1251,2068863008,
1252,1471337839,
1253,1784057153,LC12
1254,1504687367,
1255,1230902952,
1256,1850245360,
1257,2473391066,
1258,1840619118,
1259,5813033246,
1260,2525160963,
1261,2342629046,
1262,1601957358,
1263,5812995491,
1264,700792608,
1265,5813024023,
1266,2625475021,
1267,1655997973,
1268,1754442694,
1269,2566854220,
1270,850363295,
1271,2312293569,
1272,2216159577,
1273,974843876,
1274,984030630,
1275,855138330,
1276,2374342185,
1277,2069907147,
1278,1939197384,
1279,2377195505,
1280,1570901776,
1281,5813019833,
1282,1720109208,
1283,2153004880,
1284,5812994896,
1285,1020280792,FB05d
1286,299290105,
1287,5901198043,
1288,1913014120,
1289,737218533,
1290,1782244099,
1291,1448799465,
1292,5813022548,
1293,1194652343,
1294,766734991,
1295,1220257610,
1296,826062651,
1297,1818593685,
1298,1811285205,
1299,5813081799,
1300,5813034341,JO-A/B/C
1301,1745168996,LPC1
1302,1263663953,LC9
1303,1659866988,
1304,1041015097,
1305,5813000976,
1306,2157206476,
1307,1538903771,
1308,945161760,
1309,2406115614,
1310,2532741271,
1311,2317172002,
1312,1903081636,
1313,1536451903,LC15
1314,418970123,
1315,1746481743,
1316,2311706692,
1317,1840432706,
1318,696791034,
1319,1499256158,
1320,2398353868,
1321,1075041096,
1322,2375158731,
1323,5813065321,
1324,670219670,
1325,1197390448,
1326,1567766854,
1327,891577867,
1328,2026862231,
1329,728109792,
1330,544379269,
1331,2060285444,
1332,1838243936,
1333,1251991808,
1334,1322470368,R1
1335,1508127542,
1336,573090850,
1337,2000874350,
1338,541723731,
1339,2315186378,
1340,2154882970,
1341,1563099587,
1342,736079469,
1343,2194366386,
1344,5813049193,LC9
1345,797442049,
1346,5812990002,
1347,671393987,
1348,884635896,
1349,1968500849,
1350,1776886049,LC25
1351,2403533664,
1352,1662054216,
1353,1258773691,
1354,5813038963,LPC1
1355,1720105182,
1356,2157641277,
1357,1684753336,
1358,1536452097,LC15
1359,1262015098,
1360,798002859,FB06d
1361,609173201,
1362,1537411088,
1363,1634140884,
1364,5813061760,
1365,639063702,
1366,2056511794,
1367,1689606690,
1368,1224078043,
1369,1500024261,LC13
1370,2040871009,
1371,5813134158,
1372,1932393785,
1373,1902710595,
1374,1813295849,
1375,1137590955,
1376,5813090128,
1377,1009919653,
1378,702364805,
1379,2345918668,
1380,1571591618,
1381,2367922695,
1382,888146447,
1383,890204660,
1384,424384254,
1385,2350610856,
1386,2410652289,
1387,2065158506,
1388,1785403942,LC12
1389,1526854277,
1390,885875592,
1391,1039093891,
1392,1410054190,
1393,1320290839,
1394,2535464938,
1395,1807226822,
1396,2373885250,
1397,5813057178,
1398,2275470266,
1399,1902140615,
1400,1103788499,
1401,1436500222,
1402,5813045265,
1403,5813069184,
1404,2346160645,
1405,5813097021,
1406,1291633691,
1407,1535717592,
1408,1070387992,
1409,704880200,
1410,1626909735,LPLC4
1411,1762674761,mPNX
1412,859489348,
1413,1817756115,
1414,5812997870,LLPC1
1415,5813001131,
1416,357224041,
1417,2378270349,
1418,1963869286,
1419,1107081827,
1420,1316418105,
1421,5813077705,
1422,1713232111,
1423,1816456312,LC12
1424,1686229077,
1425,1352227394,
1426,1785745638,LC12
1427,5813024933,
1428,485934965,
1429,5812990678,LC29
1430,1566514624,
1431,5813034151,LPLC2
1432,1691405824,
1433,2654122474,
1434,5813061690,
1435,1847815147,LC17
1436,1414414028,
1437,5901215009,
1438,1218901067,
1439,1345860891,
1440,5813026615,
1441,891914014,
1442,2443374661,
1443,2277546254,
1444,5813022591,
1445,2310092069,
1446,5813069320,
1447,5813048692,
1448,5813014307,
1449,892609630,LT52
1450,1978481984,
1451,2348573606,
1452,1222308512,
1453,951299764,
1454,2353374282,
1455,1074493547,
1456,5812986766,
1457,1444650460,
1458,1573206643,
1459,1016506999,
1460,1289920105,
1461,448342846,
1462,1260879515,LC9
1463,5813006811,
1464,1635617174,
1465,1599285725,
1466,297917158,
1467,1472711015,
1468,1376782262,
1469,1749275570,LPLC1
1470,5813068615,LC22
1471,420598392,
1472,5813066836,
1473,5812982002,
1474,1539805185,
1475,914475586,
1476,1812562435,
1477,1294362042,LC9
1478,5901196706,
1479,1164994595,
1480,643760681,
1481,1907156409,LC4
1482,1905977495,
1483,1352568151,
1484,1946057040,
1485,5813050772,
1486,1785681114,
1487,1689993656,LPLC1
1488,1634770661,
1489,1813529619,
1490,1602704738,
1491,1232249314,LC6
1492,1780900851,
1493,757556799,mlPN1
1494,1165327849,
1495,2430661044,
1496,5813007750,
1497,757591093,mPNX
1498,5901203462,
1499,5813065111,
1500,2477500932,
1501,5813045606,
1502,1565937074,
1503,734814622,
1504,2183086498,
1505,1873371858,
1506,1040161671,
1507,1996276256,
1508,1815378169,
1509,2311059545,
1510,2278353847,
1511,1692299350,
1512,727889637,
1513,2316136396,
1514,1008076549,
1515,2535451867,
1516,1509957446,
1517,1131485858,
1518,2374454080,
1519,1596035280,
1520,330388864,IPC
1521,852302293,
1522,1478487101,
1523,2371363872,
1524,1199565117,
1525,1323341985,
1526,510658534,
1527,1532989276,
1528,5813054946,
1529,1635397292,
1530,1438645350,
1531,2343510166,
1532,1260879601,LC6
1533,1281304049,
1534,1280971143,
1535,2280671801,
1536,1106775733,
1537,2470658440,
1538,1723286289,
1539,1011297558,
1540,2378935251,
1541,2223346283,
1542,1070613107,mlPNX
1543,798114519,
1544,1722670151,LC18
1545,510956083,
1546,1561301125,LC17
1547,1876898200,LC4
1548,1962759336,
1549,1695143944,
1550,2183030712,
1551,1745147593,
1552,576143501,
1553,729742221,
1554,675187572,
1555,2566845414,
1556,2102613062,
1557,1964421713,
1558,922608418,
1559,2193326984,
1560,1811737700,LLPC3
1561,760993807,
1562,388975834,
1563,1530450586,
1564,5812987878,
1565,1906129758,
1566,832357089,
1567,727225324,
1568,792062042,
1569,1416072512,
1570,5813043073,
1571,2056541998,
1572,1781963569,
1573,2211336643,
1574,1192460455,
1575,1777539227,
1576,2531368041,
1577,2058376157,
1578,5813076272,
1579,1750980224,LC18
1580,5813022257,
1581,2223380732,
1582,2436890966,
1583,5813017315,
1584,1130972852,
1585,5813002703,
1586,604856102,
1587,2369614410,
1588,5813023742,
1589,857788501,
1590,5813078104,
1591,1509853849,
1592,1012622865,
1593,5813041247,mlPN2
1594,2399657303,
1595,1166416004,
1596,2411347171,
1597,1069223047,
1598,1513609569,
1599,2376858919,
1600,2438302580,
1601,420973612,
